hour,day_of_week,month,is_weekend,is_peak_hour,holiday,temp,rain_1h,snow_1h,clouds_all,traffic_volume
6,6,10,1,0,0,275.05,0.0,0.0,90,1508
7,6,10,1,1,0,274.77,0.0,0.0,90,1539
8,6,10,1,1,0,274.77,0.0,0.0,75,2232
9,6,10,1,1,0,275.55,0.0,0.0,75,4568
10,6,10,1,0,0,276.24,0.0,0.0,75,4624
11,6,10,1,0,0,277.01,0.0,0.0,90,4529
12,6,10,1,0,0,277.43,0.0,0.0,90,5139
13,6,10,1,0,0,278.45,0.0,0.0,90,6640
14,6,10,1,0,0,279.27,0.0,0.0,90,6589
15,6,10,1,0,0,279.27,0.0,0.0,90,4429
16,6,10,1,1,0,279.44,0.0,0.0,90,4329
17,6,10,1,1,0,279.32,0.0,0.0,90,3833
18,6,10,1,1,0,279.27,0.0,0.0,90,4015
19,6,10,1,0,0,278.11,0.0,0.0,90,3382
20,6,10,1,0,0,276.79,0.0,0.0,75,2815
21,6,10,1,0,0,275.73,0.0,0.0,90,2110
22,6,10,1,0,0,274.88,0.0,0.0,75,1555
23,6,10,1,0,0,273.92,0.0,0.0,20,959
0,0,10,0,0,1,273.08,0.0,0.0,20,455
1,0,10,0,0,0,272.62,0.0,0.0,20,336
2,0,10,0,0,0,271.78,0.0,0.0,1,265
3,0,10,0,0,0,271.05,0.0,0.0,1,314
4,0,10,0,0,0,270.63,0.0,0.0,1,779
5,0,10,0,0,0,270.33,0.0,0.0,1,2571
6,0,10,0,0,0,269.61,0.0,0.0,20,5563
7,0,10,0,1,0,270.01,0.0,0.0,20,6676
8,0,10,0,1,0,271.23,0.0,0.0,20,5966
9,0,10,0,1,0,273.71,0.0,0.0,20,4832
10,0,10,0,0,0,276.77,0.0,0.0,20,4395
11,0,10,0,0,0,279.47,0.0,0.0,20,4411
12,0,10,0,0,0,279.84,0.0,0.0,1,4648
13,0,10,0,0,0,282.34,0.0,0.0,40,4602
14,0,10,0,0,0,282.94,0.0,0.0,40,5125
15,0,10,0,0,0,283.48,0.0,0.0,1,5502
16,0,10,0,1,0,284.33,0.0,0.0,1,5979
17,0,10,0,1,0,284.48,0.0,0.0,40,5663
18,0,10,0,1,0,284.23,0.0,0.0,40,4259
19,0,10,0,0,0,281.99,0.0,0.0,20,3069
20,0,10,0,0,0,279.81,0.0,0.0,1,2378
21,0,10,0,0,0,279.35,0.0,0.0,1,2030
22,0,10,0,0,0,278.9,0.0,0.0,1,1400
23,0,10,0,0,0,278.46,0.0,0.0,1,917
0,1,10,0,0,0,277.78,0.0,0.0,1,515
1,1,10,0,0,0,277.27,0.0,0.0,1,302
2,1,10,0,0,0,277.47,0.0,0.0,1,251
4,1,10,0,0,0,276.97,0.0,0.0,20,798
5,1,10,0,0,0,276.52,0.0,0.0,40,2678
6,1,10,0,0,0,276.6,0.0,0.0,40,5733
7,1,10,0,1,0,277.31,0.0,0.0,75,6449
8,1,10,0,1,0,278.38,0.0,0.0,90,5765
9,1,10,0,1,0,279.35,0.0,0.0,90,5599
10,1,10,0,0,0,281.37,0.0,0.0,90,4534
11,1,10,0,0,0,283.11,0.0,0.0,90,4691
12,1,10,0,0,0,284.08,0.0,0.0,75,5067
13,1,10,0,0,0,285.14,0.0,0.0,75,5030
14,1,10,0,0,0,286.35,0.0,0.0,90,5300
15,1,10,0,0,0,287.23,0.0,0.0,100,5777
16,1,10,0,1,0,288.53,0.0,0.0,90,6349
17,1,10,0,1,0,290.37,0.0,0.0,90,6127
18,1,10,0,1,0,290.13,0.0,0.0,90,4460
19,1,10,0,0,0,288.86,0.0,0.0,75,3418
20,1,10,0,0,0,287.36,0.0,0.0,90,2775
21,1,10,0,0,0,285.11,0.0,0.0,90,2306
22,1,10,0,0,0,283.46,0.0,0.0,90,1846
23,1,10,0,0,0,282.45,0.0,0.0,90,947
0,2,10,0,0,0,281.88,0.0,0.0,90,494
1,2,10,0,0,0,281.78,0.0,0.0,90,332
2,2,10,0,0,0,281.09,0.0,0.0,75,261
3,2,10,0,0,0,281.17,0.0,0.0,90,361
6,2,10,0,0,0,281.25,0.0,0.0,92,5875
7,2,10,0,1,0,281.25,0.0,0.0,99,6793
7,2,10,0,1,0,281.25,0.0,0.0,99,6793
8,2,10,0,1,0,280.1,0.0,0.0,99,6283
8,2,10,0,1,0,280.1,0.0,0.0,99,6283
9,2,10,0,1,0,279.61,0.0,0.0,99,5680
9,2,10,0,1,0,279.61,0.0,0.0,99,5680
10,2,10,0,0,0,279.67,0.0,0.0,99,4632
11,2,10,0,0,0,280.19,0.0,0.0,1,4887
12,2,10,0,0,0,282.09,0.0,0.0,75,5030
13,2,10,0,0,0,282.26,0.0,0.0,75,5067
14,2,10,0,0,0,282.05,0.0,0.0,90,5227
15,2,10,0,0,0,281.59,0.0,0.0,90,5610
16,2,10,0,1,0,281.23,0.0,0.0,81,6286
18,2,10,0,1,0,282.6,0.0,0.0,81,4775
19,2,10,0,0,0,282.6,0.0,0.0,81,3340
20,2,10,0,0,0,282.6,0.0,0.0,81,3013
21,2,10,0,0,0,282.6,0.0,0.0,81,2603
22,2,10,0,0,0,282.6,0.0,0.0,81,1910
23,2,10,0,0,0,282.6,0.0,0.0,81,1037
1,3,10,0,0,0,273.9,0.0,0.0,1,347
3,3,10,0,0,0,274.4,0.0,0.0,75,350
4,3,10,0,0,0,274.05,0.0,0.0,75,850
5,3,10,0,0,0,273.71,0.0,0.0,40,2791
6,3,10,0,0,0,272.66,0.0,0.0,1,5809
7,3,10,0,1,0,272.65,0.0,0.0,1,6798
8,3,10,0,1,0,272.52,0.0,0.0,1,6304
9,3,10,0,1,0,275.19,0.0,0.0,20,5291
10,3,10,0,0,0,275.34,0.0,0.0,1,4638
14,3,10,0,0,0,284.1,0.0,0.0,50,5557
15,3,10,0,0,0,284.1,0.0,0.0,50,5818
16,3,10,0,1,0,283.78,0.0,0.0,75,6272
17,3,10,0,1,0,283.52,0.0,0.0,75,5944
18,3,10,0,1,0,283.32,0.0,0.0,90,4949
19,3,10,0,0,0,282.06,0.0,0.0,90,3511
20,3,10,0,0,0,281.95,0.0,0.0,90,3039
21,3,10,0,0,0,281.81,0.0,0.0,90,2679
22,3,10,0,0,0,282.16,0.0,0.0,90,2094
23,3,10,0,0,0,282.53,0.0,0.0,90,1284
0,4,10,0,0,0,283.91,0.0,0.0,90,630
1,4,10,0,0,0,284.64,0.0,0.0,90,410
2,4,10,0,0,0,284.61,0.0,0.0,90,331
3,4,10,0,0,0,283.18,0.0,0.0,72,372
4,4,10,0,0,0,282.26,0.0,0.0,72,739
5,4,10,0,0,0,280.77,0.0,0.0,72,2561
6,4,10,0,0,0,278.53,0.0,0.0,75,5586
7,4,10,0,1,0,277.64,0.0,0.0,75,6992
8,4,10,0,1,0,277.9,0.0,0.0,90,5860
9,4,10,0,1,0,278.18,0.0,0.0,90,5230
10,4,10,0,0,0,279.29,0.0,0.0,75,4864
11,4,10,0,0,0,280.45,0.0,0.0,75,5146
12,4,10,0,0,0,280.95,0.0,0.0,40,5526
13,4,10,0,0,0,281.74,0.0,0.0,40,5383
14,4,10,0,0,0,281.84,0.0,0.0,75,5758
15,4,10,0,0,0,282.45,0.0,0.0,75,5889
16,4,10,0,1,0,282.2,0.0,0.0,75,6057
17,4,10,0,1,0,281.54,0.0,0.0,40,6028
18,4,10,0,1,0,280.21,0.0,0.0,20,5257
23,4,10,0,0,0,282.2,0.0,0.0,56,1897
0,5,10,1,0,0,272.58,0.0,0.0,1,1335
1,5,10,1,0,0,272.06,0.0,0.0,1,769
2,5,10,1,0,0,270.99,0.0,0.0,1,570
3,5,10,1,0,0,270.29,0.0,0.0,20,413
4,5,10,1,0,0,269.48,0.0,0.0,1,399
5,5,10,1,0,0,269.27,0.0,0.0,1,740
6,5,10,1,0,0,268.91,0.0,0.0,1,1420
7,5,10,1,1,0,268.98,0.0,0.0,75,2220
8,5,10,1,1,0,269.23,0.0,0.0,40,3479
9,5,10,1,1,0,272.61,0.0,0.0,40,4546
10,5,10,1,0,0,276.78,0.0,0.0,20,4579
11,5,10,1,0,0,279.22,0.0,0.0,1,4438
12,5,10,1,0,0,280.35,0.0,0.0,1,4623
13,5,10,1,0,0,281.81,0.0,0.0,1,4440
14,5,10,1,0,0,283.05,0.0,0.0,1,4495
15,5,10,1,0,0,283.96,0.0,0.0,1,4483
16,5,10,1,1,0,284.53,0.0,0.0,1,4591
17,5,10,1,1,0,284.44,0.0,0.0,1,4477
18,5,10,1,1,0,283.64,0.0,0.0,1,4221
19,5,10,1,0,0,281.85,0.0,0.0,20,3672
20,5,10,1,0,0,281.38,0.0,0.0,1,3015
21,5,10,1,0,0,281.84,0.0,0.0,75,2769
22,5,10,1,0,0,282.23,0.0,0.0,90,2875
23,5,10,1,0,0,282.18,0.0,0.0,90,1931
0,6,10,1,0,0,282.49,0.0,0.0,90,1309
1,6,10,1,0,0,282.54,0.0,0.0,90,870
2,6,10,1,0,0,282.58,0.0,0.0,90,654
3,6,10,1,0,0,282.23,0.0,0.0,90,364
4,6,10,1,0,0,282.08,0.0,0.0,90,262
5,6,10,1,0,0,282.23,0.0,0.0,90,505
6,6,10,1,0,0,282.24,0.0,0.0,90,861
7,6,10,1,1,0,282.24,0.0,0.0,90,1132
8,6,10,1,1,0,282.24,0.0,0.0,57,1797
9,6,10,1,1,0,282.43,0.0,0.0,57,2685
9,6,10,1,1,0,282.43,0.0,0.0,57,2685
9,6,10,1,1,0,282.43,0.0,0.0,57,2685
10,6,10,1,0,0,282.33,0.0,0.0,57,3370
10,6,10,1,0,0,282.33,0.0,0.0,57,3370
11,6,10,1,0,0,282.82,0.0,0.0,57,3662
11,6,10,1,0,0,282.82,0.0,0.0,57,3662
12,6,10,1,0,0,283.33,0.0,0.0,57,4076
12,6,10,1,0,0,283.33,0.0,0.0,57,4076
12,6,10,1,0,0,283.33,0.0,0.0,57,4076
13,6,10,1,0,0,283.75,0.0,0.0,93,4128
13,6,10,1,0,0,283.75,0.0,0.0,93,4128
13,6,10,1,0,0,283.75,0.0,0.0,93,4128
14,6,10,1,0,0,284.09,0.0,0.0,93,4358
14,6,10,1,0,0,284.09,0.0,0.0,93,4358
14,6,10,1,0,0,284.09,0.0,0.0,93,4358
15,6,10,1,0,0,284.55,0.0,0.0,93,4342
15,6,10,1,0,0,284.55,0.0,0.0,93,4342
16,6,10,1,1,0,284.68,0.0,0.0,93,4234
17,6,10,1,1,0,284.64,0.0,0.0,93,4271
17,6,10,1,1,0,284.64,0.0,0.0,93,4271
18,6,10,1,1,0,284.4,0.0,0.0,93,4080
19,6,10,1,0,0,284.17,0.0,0.0,93,3453
20,6,10,1,0,0,284.03,0.0,0.0,93,2718
21,6,10,1,0,0,283.58,0.0,0.0,93,2439
22,6,10,1,0,0,283.04,0.0,0.0,93,1819
23,6,10,1,0,0,281.95,0.0,0.0,93,1002
23,6,10,1,0,0,281.95,0.0,0.0,93,1002
0,0,10,0,0,0,281.61,0.0,0.0,93,542
0,0,10,0,0,0,281.61,0.0,0.0,93,542
1,0,10,0,0,0,281.57,0.0,0.0,85,303
2,0,10,0,0,0,281.42,0.0,0.0,85,239
3,0,10,0,0,0,281.29,0.0,0.0,85,335
3,0,10,0,0,0,281.29,0.0,0.0,85,335
4,0,10,0,0,0,281.02,0.0,0.0,85,810
4,0,10,0,0,0,281.02,0.0,0.0,85,810
5,0,10,0,0,0,280.82,0.0,0.0,85,2606
5,0,10,0,0,0,280.82,0.0,0.0,85,2606
6,0,10,0,0,0,280.39,0.0,0.0,85,5714
7,0,10,0,1,0,280.19,0.0,0.0,100,6798
8,0,10,0,1,0,279.82,0.0,0.0,100,6114
9,0,10,0,1,0,279.75,0.0,0.0,100,5094
10,0,10,0,0,0,280.07,0.0,0.0,100,4473
11,0,10,0,0,0,280.32,0.0,0.0,90,4529
12,0,10,0,0,0,281.72,0.0,0.0,100,4823
13,0,10,0,0,0,284.01,0.0,0.0,40,4872
14,0,10,0,0,0,285.88,0.0,0.0,1,5238
15,0,10,0,0,0,286.87,0.0,0.0,1,5584
16,0,10,0,1,0,287.6,0.0,0.0,20,6246
17,0,10,0,1,0,287.27,0.0,0.0,20,5957
18,0,10,0,1,0,286.18,0.0,0.0,20,4535
19,0,10,0,0,0,285.2,0.0,0.0,75,3234
20,0,10,0,0,0,284.68,0.0,0.0,75,2677
21,0,10,0,0,0,284.49,0.0,0.0,90,2077
22,0,10,0,0,0,283.54,0.0,0.0,20,1380
23,0,10,0,0,0,282.33,0.0,0.0,75,927
0,1,10,0,0,0,281.21,0.0,0.0,20,500
1,1,10,0,0,0,279.87,0.0,0.0,1,324
2,1,10,0,0,0,278.93,0.0,0.0,1,257
3,1,10,0,0,0,277.91,0.0,0.0,1,354
4,1,10,0,0,0,277.21,0.0,0.0,1,769
5,1,10,0,0,0,276.61,0.0,0.0,1,2769
6,1,10,0,0,0,276.11,0.0,0.0,1,5789
7,1,10,0,1,0,274.81,0.0,0.0,20,7055
8,1,10,0,1,0,274.99,0.0,0.0,20,6408
9,1,10,0,1,0,277.91,0.0,0.0,20,5254
10,1,10,0,0,0,280.71,0.0,0.0,20,4547
11,1,10,0,0,0,283.85,0.0,0.0,20,4784
12,1,10,0,0,0,286.01,0.0,0.0,40,5015
13,1,10,0,0,0,286.31,0.0,0.0,1,5057
14,1,10,0,0,0,288.15,0.0,0.0,75,5430
15,1,10,0,0,0,289.15,0.0,0.0,75,5813
16,1,10,0,1,0,288.99,0.0,0.0,75,6496
17,1,10,0,1,0,288.86,0.0,0.0,75,6429
18,1,10,0,1,0,288.16,0.0,0.0,90,5142
19,1,10,0,0,0,287.28,0.0,0.0,68,3311
20,1,10,0,0,0,287.04,0.0,0.0,90,2777
21,1,10,0,0,0,286.9,0.0,0.0,90,2331
22,1,10,0,0,0,287.09,0.0,0.0,90,1767
23,1,10,0,0,0,287.09,0.0,0.0,90,1093
0,2,10,0,0,0,286.89,0.0,0.0,75,554
1,2,10,0,0,0,286.93,0.0,0.0,75,333
2,2,10,0,0,0,286.93,0.0,0.0,90,267
3,2,10,0,0,0,287.07,0.0,0.0,90,358
4,2,10,0,0,0,286.56,0.0,0.0,75,777
5,2,10,0,0,0,285.91,0.0,0.0,90,2732
6,2,10,0,0,0,285.29,0.0,0.0,90,5637
7,2,10,0,1,0,284.92,0.0,0.0,75,5564
8,2,10,0,1,0,285.35,0.0,0.0,75,6274
9,2,10,0,1,0,285.72,0.0,0.0,100,5403
9,2,10,0,1,0,285.72,0.0,0.0,100,5403
10,2,10,0,0,0,287.09,0.0,0.0,75,4680
11,2,10,0,0,0,288.31,0.0,0.0,75,4642
12,2,10,0,0,0,288.61,0.0,0.0,1,4979
13,2,10,0,0,0,290.32,0.0,0.0,1,4851
14,2,10,0,0,0,291.36,0.0,0.0,1,4291
15,2,10,0,0,0,292.01,0.0,0.0,1,4714
16,2,10,0,1,0,292.61,0.0,0.0,1,6723
17,2,10,0,1,0,292.65,0.0,0.0,1,6180
18,2,10,0,1,0,290.52,0.0,0.0,40,4843
19,2,10,0,0,0,288.35,0.0,0.0,40,3435
20,2,10,0,0,0,286.72,0.0,0.0,40,2921
21,2,10,0,0,0,285.49,0.0,0.0,40,2763
22,2,10,0,0,0,284.22,0.0,0.0,20,1930
23,2,10,0,0,0,283.8,0.0,0.0,20,1160
0,3,10,0,0,0,283.72,0.0,0.0,20,654
1,3,10,0,0,0,282.8,0.0,0.0,40,374
2,3,10,0,0,0,282.32,0.0,0.0,99,301
3,3,10,0,0,0,282.38,0.0,0.0,99,397
4,3,10,0,0,0,282.76,0.0,0.0,90,794
5,3,10,0,0,0,282.88,0.0,0.0,99,2564
6,3,10,0,0,0,284.18,0.0,0.0,75,5358
7,3,10,0,1,0,284.69,0.0,0.0,90,6441
8,3,10,0,1,0,285.0,0.0,0.0,90,5536
9,3,10,0,1,0,286.9,0.0,0.0,99,5256
10,3,10,0,0,0,288.35,0.0,0.0,90,4619
11,3,10,0,0,0,289.59,0.0,0.0,90,5107
12,3,10,0,0,0,288.27,0.0,0.0,99,5147
13,3,10,0,0,0,286.41,0.0,0.0,90,5283
14,3,10,0,0,0,285.96,0.0,0.0,90,5704
15,3,10,0,0,0,287.04,0.0,0.0,90,5887
16,3,10,0,1,0,287.18,0.0,0.0,90,6307
17,3,10,0,1,0,286.94,0.0,0.0,90,5953
18,3,10,0,1,0,286.01,0.0,0.0,90,4519
19,3,10,0,0,0,284.67,0.0,0.0,100,3427
20,3,10,0,0,0,283.44,0.0,0.0,100,2921
21,3,10,0,0,0,282.51,0.0,0.0,100,2649
22,3,10,0,0,0,281.9,0.0,0.0,90,2005
23,3,10,0,0,0,281.85,0.0,0.0,90,1177
0,4,10,0,0,0,281.28,0.0,0.0,90,699
1,4,10,0,0,0,280.97,0.0,0.0,87,436
2,4,10,0,0,0,280.44,0.0,0.0,87,353
2,4,10,0,0,0,280.44,0.0,0.0,87,353
3,4,10,0,0,0,280.02,0.0,0.0,87,399
4,4,10,0,0,0,279.79,0.0,0.0,87,720
4,4,10,0,0,0,279.79,0.0,0.0,87,720
4,4,10,0,0,0,279.79,0.0,0.0,87,720
4,4,10,0,0,0,279.79,0.0,0.0,87,720
5,4,10,0,0,0,279.74,0.0,0.0,87,2370
5,4,10,0,0,0,279.74,0.0,0.0,87,2370
6,4,10,0,0,0,279.65,0.0,0.0,87,5162
6,4,10,0,0,0,279.65,0.0,0.0,87,5162
6,4,10,0,0,0,279.65,0.0,0.0,87,5162
7,4,10,0,1,0,279.45,0.0,0.0,91,5777
7,4,10,0,1,0,279.45,0.0,0.0,91,5777
8,4,10,0,1,0,279.22,0.0,0.0,91,5235
8,4,10,0,1,0,279.22,0.0,0.0,91,5235
8,4,10,0,1,0,279.22,0.0,0.0,91,5235
9,4,10,0,1,0,279.35,0.0,0.0,91,4606
9,4,10,0,1,0,279.35,0.0,0.0,91,4606
10,4,10,0,0,0,279.92,0.0,0.0,91,4328
11,4,10,0,0,0,280.44,0.0,0.0,90,4282
12,4,10,0,0,0,281.0,0.0,0.0,90,4489
13,4,10,0,0,0,281.51,0.0,0.0,90,4908
14,4,10,0,0,0,281.93,0.0,0.0,92,5620
15,4,10,0,0,0,281.94,0.0,0.0,92,5849
15,4,10,0,0,0,281.94,0.0,0.0,92,5849
16,4,10,0,1,0,282.27,0.0,0.0,92,4945
17,4,10,0,1,0,282.41,0.0,0.0,92,4619
18,4,10,0,1,0,282.21,0.0,0.0,90,4479
19,4,10,0,0,0,281.69,0.0,0.0,75,3804
20,4,10,0,0,0,281.26,0.0,0.0,90,2908
21,4,10,0,0,0,280.66,0.0,0.0,92,2942
22,4,10,0,0,0,280.43,0.0,0.0,92,3077
22,4,10,0,0,0,280.43,0.0,0.0,92,3077
23,4,10,0,0,0,280.1,0.0,0.0,92,2051
23,4,10,0,0,0,280.1,0.0,0.0,92,2051
23,4,10,0,0,0,280.1,0.0,0.0,92,2051
0,5,10,1,0,0,280.06,0.0,0.0,92,1270
0,5,10,1,0,0,280.06,0.0,0.0,92,1270
1,5,10,1,0,0,280.28,0.0,0.0,96,773
1,5,10,1,0,0,280.28,0.0,0.0,96,773
2,5,10,1,0,0,280.38,0.0,0.0,96,589
3,5,10,1,0,0,280.62,0.0,0.0,96,432
3,5,10,1,0,0,280.62,0.0,0.0,96,432
4,5,10,1,0,0,280.91,0.0,0.0,96,401
4,5,10,1,0,0,280.91,0.0,0.0,96,401
4,5,10,1,0,0,280.91,0.0,0.0,96,401
5,5,10,1,0,0,280.96,0.0,0.0,96,759
5,5,10,1,0,0,280.96,0.0,0.0,96,759
5,5,10,1,0,0,280.96,0.0,0.0,96,759
6,5,10,1,0,0,281.13,0.0,0.0,96,1313
6,5,10,1,0,0,281.13,0.0,0.0,96,1313
6,5,10,1,0,0,281.13,0.0,0.0,96,1313
7,5,10,1,1,0,281.28,0.0,0.0,100,1824
7,5,10,1,1,0,281.28,0.0,0.0,100,1824
7,5,10,1,1,0,281.28,0.0,0.0,100,1824
8,5,10,1,1,0,281.19,0.0,0.0,100,2787
8,5,10,1,1,0,281.19,0.0,0.0,100,2787
8,5,10,1,1,0,281.19,0.0,0.0,100,2787
9,5,10,1,1,0,281.7,0.0,0.0,100,3713
9,5,10,1,1,0,281.7,0.0,0.0,100,3713
9,5,10,1,1,0,281.7,0.0,0.0,100,3713
9,5,10,1,1,0,281.7,0.0,0.0,100,3713
10,5,10,1,0,0,282.02,0.0,0.0,100,3815
10,5,10,1,0,0,282.02,0.0,0.0,100,3815
10,5,10,1,0,0,282.02,0.0,0.0,100,3815
10,5,10,1,0,0,282.02,0.0,0.0,100,3815
11,5,10,1,0,0,282.35,0.0,0.0,100,4339
11,5,10,1,0,0,282.35,0.0,0.0,100,4339
11,5,10,1,0,0,282.35,0.0,0.0,100,4339
12,5,10,1,0,0,282.71,0.0,0.0,100,4613
12,5,10,1,0,0,282.71,0.0,0.0,100,4613
12,5,10,1,0,0,282.71,0.0,0.0,100,4613
12,5,10,1,0,0,282.71,0.0,0.0,100,4613
13,5,10,1,0,0,283.31,0.0,0.0,48,4507
14,5,10,1,0,0,283.79,0.0,0.0,90,4452
15,5,10,1,0,0,284.2,0.0,0.0,75,4636
16,5,10,1,1,0,284.32,0.0,0.0,90,4810
17,5,10,1,1,0,284.13,0.0,0.0,75,5125
18,5,10,1,1,0,283.14,0.0,0.0,40,4337
19,5,10,1,0,0,281.4,0.0,0.0,40,3644
20,5,10,1,0,0,280.47,0.0,0.0,20,3107
